,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
13060,Rural,Large,North,Zone 5,4,0,2,4491,Company Owned,55,0,0,0,235,26.0,6,0,B,2,5,7134
13061,Rural,Mid,South,Zone 2,5,0,3,5422,Company Owned,64,1,0,1,129,31.0,23,0,B,4,32,28148
13062,Rural,Large,North,Zone 6,6,1,2,4601,Company Owned,19,0,0,0,187,23.0,19,1,C,5,6,25080
13063,Rural,Large,North,Zone 5,2,0,3,5679,Rented,16,0,0,0,211,28.0,25,1,C,2,24,32095
13064,Rural,Large,South,Zone 6,6,2,2,8929,Company Owned,44,0,0,1,147,26.0,16,0,B,6,29,19076
13065,Rural,Mid,West,Zone 2,6,3,2,4830,Company Owned,38,0,0,1,67,26.0,17,1,B,4,12,20064
13066,Rural,Mid,South,Zone 4,1,0,3,4810,Company Owned,25,0,0,1,175,25.0,36,0,A,5,20,49129
13067,Rural,Small,North,Zone 1,6,1,3,5140,Company Owned,55,0,0,1,108,36.0,6,0,B+,5,31,7108
13068,Rural,Large,West,Zone 6,6,0,4,4114,Company Owned,67,0,0,0,100,40.0,35,0,C,3,6,48145
13069,Rural,Large,West,Zone 5,3,3,6,4346,Company Owned,58,0,0,1,59,23.0,4,0,A,2,25,5128
13070,Rural,Mid,North,Zone 3,8,0,3,5847,Company Owned,59,0,0,0,122,26.0,32,0,C,4,27,43117
13071,Rural,Large,North,Zone 6,3,1,2,5108,Rented,20,0,0,0,120,21.0,5,0,A,1,4,6143
13072,Rural,Mid,South,Zone 4,5,0,4,3983,Company Owned,63,0,0,0,151,24.0,13,1,A+,5,11,19112
13073,Rural,Mid,West,Zone 2,8,0,3,4154,Company Owned,35,1,0,1,253,24.0,6,0,A,3,12,8121
13074,Rural,Large,West,Zone 6,2,0,4,3949,Company Owned,37,0,0,1,188,33.0,24,0,A,5,23,30124
13075,Rural,Mid,North,Zone 3,1,0,2,5390,Rented,69,0,0,0,189,29.0,7,0,A,3,27,9114
13076,Rural,Large,West,Zone 6,7,0,4,6390,Rented,24,0,0,0,80,16.0,27,1,A+,6,23,36109
13077,Rural,Small,North,Zone 6,1,1,2,5646,Company Owned,62,0,0,0,156,24.0,11,0,B+,3,8,13130
13078,Rural,Large,North,Zone 6,5,0,2,5203,Company Owned,25,0,0,1,195,33.0,6,1,B,2,28,7150
13079,Rural,Small,South,Zone 6,4,0,3,4566,Rented,24,0,0,0,249,16.0,12,0,A,3,9,15142
13080,Rural,Mid,West,Zone 2,6,0,4,4548,Company Owned,67,0,0,0,253,32.0,10,0,C,6,12,13115
13081,Rural,Small,North,Zone 1,2,3,3,4884,Rented,31,0,0,0,207,23.0,9,0,A,6,30,12071
13082,Urban,Large,West,Zone 5,5,0,2,4872,Rented,24,0,0,0,110,24.0,25,1,B+,4,10,29102
13083,Rural,Large,North,Zone 6,8,0,3,4759,Rented,32,0,0,0,262,17.0,16,0,B+,1,28,20061
13084,Rural,Mid,South,Zone 2,7,1,3,2828,Rented,32,0,0,1,186,20.0,11,0,B,2,22,13142
13085,Rural,Mid,South,Zone 3,6,0,2,4322,Company Owned,22,0,0,1,144,31.0,24,0,A,2,19,33089
13086,Rural,Large,North,Zone 6,6,0,2,5260,Rented,41,0,0,1,271,24.0,24,0,C,5,28,30149
13087,Rural,Large,South,Zone 6,1,0,4,3015,Rented,70,0,0,1,116,25.0,0,0,C,0,29,5094
13088,Rural,Small,North,Zone 1,4,3,3,5858,Rented,52,0,0,1,113,27.0,18,0,B+,5,21,21100
13089,Rural,Mid,South,Zone 2,6,2,2,3545,Rented,62,0,0,0,259,28.0,25,1,A+,4,1,32103
13090,Rural,Large,West,Zone 5,7,0,4,4531,Company Owned,53,0,0,1,93,30.0,13,0,B,4,25,15086
13091,Rural,Large,North,Zone 6,4,0,4,3680,Rented,44,0,0,0,140,47.0,28,0,C,6,28,36081
13092,Rural,Mid,West,Zone 4,5,4,5,4251,Company Owned,37,0,0,1,86,27.0,16,0,A,6,26,20113
13093,Rural,Large,West,Zone 5,3,0,3,5702,Rented,58,0,0,0,175,43.0,23,0,C,5,5,29146
13094,Rural,Mid,North,Zone 4,1,2,4,4124,Company Owned,50,0,0,1,196,34.0,10,0,B+,3,26,11091
13095,Rural,Large,North,Zone 6,2,4,3,4079,Company Owned,61,0,0,1,132,31.0,16,0,A,4,23,20103
13096,Rural,Mid,North,Zone 4,3,0,2,7280,Rented,43,0,0,1,115,34.0,21,0,B,5,26,26107
13097,Rural,Large,North,Zone 5,3,2,2,4761,Company Owned,69,1,0,1,230,28.0,19,0,B+,4,25,22141
13098,Rural,Large,West,Zone 6,4,0,4,4340,Company Owned,23,1,0,1,101,28.0,39,0,B+,4,6,49134
13099,Rural,Large,North,Zone 6,3,0,3,6711,Rented,56,0,0,0,206,21.0,10,1,A+,5,6,15115
13100,Urban,Mid,West,Zone 4,6,0,6,3520,Company Owned,61,0,0,1,135,31.0,27,0,B,6,11,34143
13101,Rural,Mid,South,Zone 4,4,3,6,7901,Company Owned,67,1,0,1,270,24.0,5,1,B,1,26,6073
13102,Rural,Mid,West,Zone 3,8,1,3,3504,Rented,40,0,0,1,190,32.0,33,1,A,4,19,43086
13103,Rural,Large,West,Zone 5,4,0,2,5225,Rented,61,0,0,1,245,22.0,30,0,B,5,24,36131
13104,Rural,Mid,West,Zone 4,4,1,4,4315,Rented,23,0,0,1,183,23.0,15,0,A,5,11,19122
13105,Rural,Mid,North,Zone 3,0,0,3,6201,Rented,19,0,0,0,60,28.0,19,0,C,2,27,23141
13106,Rural,Small,South,Zone 1,7,5,2,4532,Company Owned,27,0,0,0,177,22.0,16,0,C,4,31,20136
13107,Rural,Small,South,Zone 6,1,1,2,5822,Rented,65,0,0,1,143,22.0,9,0,B+,4,2,11078
13108,Urban,Mid,North,Zone 4,6,2,2,5609,Company Owned,19,1,0,1,246,29.0,14,0,B,6,26,17145
13109,Rural,Large,North,Zone 5,6,0,4,5522,Rented,69,0,0,1,215,26.0,10,1,A+,4,24,14114
13110,Rural,Small,South,Zone 1,5,0,3,6023,Rented,49,0,0,0,217,19.0,25,0,B,3,21,28106
13111,Rural,Large,North,Zone 6,0,0,3,4730,Rented,64,0,0,1,237,28.0,28,0,B,3,6,34131
13112,Rural,Mid,North,Zone 4,1,1,3,4504,Rented,63,0,0,0,116,27.0,4,0,A,2,26,5149
13113,Rural,Mid,South,Zone 2,7,3,3,4715,Company Owned,68,0,0,1,141,33.0,5,0,B,4,32,6077
13114,Rural,Mid,West,Zone 4,1,0,2,6086,Rented,68,0,0,1,75,28.0,5,1,C,1,11,7104
13115,Rural,Mid,North,Zone 3,3,1,3,4885,Rented,22,0,0,0,59,21.0,10,1,C,2,27,13104
13116,Rural,Large,North,Zone 5,7,0,4,5373,Company Owned,22,0,0,1,208,25.0,24,0,A,4,17,30075
13117,Rural,Mid,North,Zone 3,3,0,3,3917,Rented,51,0,0,0,211,19.0,17,0,B,4,19,20116
13118,Rural,Large,North,Zone 6,3,3,3,6673,Rented,18,0,0,1,219,31.0,13,1,A,3,28,17061
13119,Rural,Large,North,Zone 6,1,3,5,5438,Company Owned,24,0,0,1,165,29.0,15,1,A+,2,6,20067
13120,Rural,Large,North,Zone 6,1,0,3,4657,Company Owned,65,0,0,1,69,32.0,25,0,B+,4,28,29064
13121,Rural,Mid,South,Zone 2,1,0,3,6262,Company Owned,62,0,0,0,268,25.0,15,0,C,2,32,20102
13122,Rural,Mid,South,Zone 3,3,0,3,5344,Company Owned,37,1,0,0,64,27.0,16,0,B,3,27,19056
13123,Rural,Large,North,Zone 6,7,0,3,4382,Rented,64,0,0,0,261,21.0,25,0,B,2,23,29071
13124,Rural,Small,West,Zone 6,4,0,2,5095,Company Owned,49,0,0,1,103,26.0,17,1,A+,2,9,23101
13125,Rural,Large,North,Zone 6,0,0,5,4420,Rented,54,0,0,0,98,26.0,10,0,B,2,23,13060
13126,Rural,Mid,West,Zone 4,3,0,4,3411,Rented,31,0,0,0,243,19.0,18,0,B,2,11,21116
13127,Rural,Large,North,Zone 6,7,1,5,3625,Company Owned,54,0,0,0,72,22.0,22,0,C,2,28,27140
13128,Rural,Mid,West,Zone 4,2,0,4,5526,Company Owned,43,0,1,1,104,28.0,14,0,A,3,26,19115
13129,Rural,Large,North,Zone 6,7,0,3,5011,Company Owned,47,0,0,1,196,40.0,22,0,C,3,23,28135
13130,Rural,Small,North,Zone 6,7,0,3,4880,Company Owned,42,1,0,1,223,42.0,35,1,A+,6,13,49096
13131,Rural,Large,North,Zone 6,6,4,2,6297,Company Owned,21,0,0,1,58,33.0,14,0,B+,4,23,17058
13132,Rural,Large,North,Zone 5,6,0,2,4695,Company Owned,60,0,0,1,257,32.0,30,0,B+,6,14,36100
13133,Rural,Mid,East,Zone 4,8,3,5,2939,Company Owned,36,0,0,1,66,28.0,15,0,B,4,26,17128
13134,Rural,Mid,North,Zone 3,1,0,4,5146,Rented,31,0,0,0,211,21.0,20,0,A+,6,27,25134
13135,Rural,Small,West,Zone 6,8,1,2,4790,Rented,28,0,0,1,150,25.0,8,0,A,3,2,11150
13136,Rural,Mid,South,Zone 3,6,0,3,4519,Company Owned,19,0,0,1,113,34.0,12,0,A,2,19,15079
13137,Urban,Mid,North,Zone 4,0,0,4,4968,Rented,43,0,0,0,221,17.0,20,0,A,4,26,28067
13138,Rural,Large,North,Zone 6,6,0,3,4125,Company Owned,64,0,0,0,120,22.0,23,0,B+,5,6,29073
13139,Rural,Mid,North,Zone 2,6,0,1,4274,Rented,26,0,0,1,205,33.0,0,0,C,0,18,14114
13140,Rural,Mid,North,Zone 2,8,1,4,4954,Rented,18,0,1,1,185,33.0,17,0,A,4,1,22140
13141,Urban,Mid,West,Zone 4,5,2,4,4552,Rented,33,0,0,1,143,27.0,33,0,C,6,11,43114
13142,Rural,Mid,West,Zone 4,0,0,2,4392,Rented,58,0,0,0,99,25.0,7,0,C,3,26,10126
13143,Rural,Large,North,Zone 6,2,0,4,5030,Rented,56,0,0,1,263,34.0,16,0,B+,5,23,19134
13144,Rural,Mid,West,Zone 4,1,2,3,4800,Company Owned,68,0,0,0,267,18.0,34,0,B,6,26,41099
13145,Rural,Small,South,Zone 1,0,0,2,8003,Company Owned,22,0,0,1,197,36.0,23,0,B,3,31,27078
13146,Rural,Large,West,Zone 6,3,0,2,4992,Rented,44,0,0,1,71,28.0,19,1,A+,5,23,24074
13147,Rural,Small,West,Zone 1,4,0,5,4807,Company Owned,22,0,0,1,201,48.0,23,0,B+,3,21,27059
13148,Rural,Large,North,Zone 5,3,0,2,6669,Company Owned,58,1,1,1,86,28.0,22,0,B+,2,24,25056
13149,Urban,Small,West,Zone 1,0,0,3,4616,Rented,22,1,0,1,86,26.0,17,0,B+,5,3,21092
13150,Rural,Large,South,Zone 5,4,1,2,4976,Rented,21,0,0,0,187,28.0,20,1,B+,5,10,25131
13151,Rural,Mid,West,Zone 3,2,3,3,4383,Company Owned,67,0,0,1,190,23.0,19,0,C,3,27,24133
13152,Rural,Large,North,Zone 6,2,0,4,4816,Rented,33,0,0,1,169,51.0,21,0,B,2,29,26083
13153,Rural,Large,West,Zone 6,1,1,2,2326,Company Owned,28,0,0,1,195,29.0,15,0,C,6,23,19071
13154,Rural,Mid,West,Zone 3,5,0,5,4567,Company Owned,60,0,0,1,229,24.0,22,0,C,2,19,30069
13155,Urban,Large,North,Zone 5,0,0,3,4945,Company Owned,63,1,0,1,134,35.0,10,0,A,2,24,14068
13156,Rural,Small,West,Zone 1,2,1,6,4968,Company Owned,55,0,0,1,208,30.0,6,0,B+,2,3,7117
13157,Urban,Large,West,Zone 5,0,0,3,3557,Rented,56,0,0,0,182,36.0,22,0,B+,3,14,26102
13158,Rural,Small,North,Zone 6,3,0,4,5009,Company Owned,68,0,0,0,58,28.0,18,1,B,2,13,21065
13159,Rural,Small,South,Zone 6,1,0,2,4336,Rented,52,0,0,1,158,34.0,6,0,B+,3,9,7123
13160,Rural,Large,West,Zone 6,5,0,3,5645,Company Owned,38,0,0,1,160,27.0,31,1,B,3,23,38076
13161,Rural,Large,West,Zone 6,2,3,4,4130,Rented,24,0,0,1,178,25.0,20,0,C,6,6,25100
13162,Rural,Large,North,Zone 6,3,0,2,3578,Rented,45,0,1,1,144,25.0,19,0,A,6,28,26131
13163,Rural,Mid,West,Zone 4,6,0,2,5226,Company Owned,27,1,0,1,152,27.0,6,0,B,2,11,7064
13164,Rural,Large,North,Zone 6,6,0,3,3445,Company Owned,62,0,0,1,152,31.0,9,1,A,2,28,12069
13165,Rural,Large,North,Zone 5,7,1,2,4962,Company Owned,21,0,0,1,127,38.0,13,0,B,5,17,16148
13166,Rural,Mid,South,Zone 3,0,3,2,5278,Rented,65,0,0,1,167,25.0,10,0,B,3,27,12134
13167,Rural,Large,North,Zone 6,2,1,2,4588,Company Owned,47,0,0,0,108,30.0,12,0,B,2,28,15110
13168,Rural,Large,South,Zone 6,8,0,3,5462,Rented,49,0,0,1,260,28.0,0,0,C,0,29,6102
13169,Rural,Mid,North,Zone 2,8,0,3,6334,Rented,21,0,1,1,221,34.0,25,0,C,3,22,35117
13170,Rural,Mid,West,Zone 4,1,0,3,4718,Company Owned,60,0,0,0,143,32.0,12,0,C,4,11,15076
13171,Rural,Mid,South,Zone 2,3,1,4,5951,Company Owned,64,0,0,1,111,30.0,25,0,A,6,32,32076
13172,Rural,Large,North,Zone 6,3,0,4,4171,Company Owned,35,0,0,1,121,39.0,38,0,C,6,28,51143
13173,Rural,Large,North,Zone 5,3,0,1,4355,Rented,43,0,0,1,85,22.0,34,0,C,2,14,44124
13174,Rural,Large,West,Zone 5,5,1,4,4109,Rented,49,0,0,1,64,32.0,5,0,C,4,10,6065
13175,Rural,Large,West,Zone 6,4,1,4,6904,Company Owned,50,0,0,1,76,24.0,11,1,A+,2,23,15124
13176,Rural,Mid,West,Zone 4,4,0,4,4134,Rented,15,0,0,1,250,22.0,18,1,A,4,11,25086
13177,Rural,Large,North,Zone 6,4,1,4,4883,Company Owned,16,1,0,1,256,33.0,4,0,B+,2,29,5086
13178,Rural,Mid,West,Zone 4,8,0,5,4258,Rented,40,0,0,1,84,37.0,5,1,B+,1,11,6102
13179,Rural,Large,North,Zone 5,8,4,6,4651,Company Owned,35,0,0,1,194,26.0,13,1,A+,6,24,17145
13180,Rural,Small,West,Zone 6,6,0,4,4794,Company Owned,60,0,0,1,174,32.0,5,1,B,1,9,6135
13181,Rural,Mid,West,Zone 3,4,0,5,4118,Company Owned,60,0,0,1,170,32.0,9,0,C,2,19,12141
13182,Rural,Mid,North,Zone 4,1,0,2,7548,Rented,64,0,0,0,200,25.0,14,0,A+,1,26,18133
13183,Urban,Large,North,Zone 6,7,3,4,4260,Company Owned,42,1,0,1,187,28.0,11,0,C,4,28,14126
13184,Rural,Large,North,Zone 6,0,0,3,4557,Rented,62,0,0,0,252,30.0,5,0,C,3,29,6088
13185,Rural,Mid,North,Zone 3,3,2,3,4949,Company Owned,41,0,0,0,165,18.0,15,1,C,6,27,19098
13186,Rural,Small,South,Zone 6,3,0,2,4878,Company Owned,49,0,0,1,99,35.0,12,0,B,5,2,14139
13187,Rural,Mid,South,Zone 2,5,0,2,4365,Rented,68,0,0,1,170,33.0,23,0,C,2,32,31106
13188,Rural,Small,West,Zone 1,0,0,2,6014,Company Owned,39,0,0,1,56,34.0,18,0,B,2,3,23075
13189,Rural,Small,South,Zone 1,1,0,3,5272,Company Owned,20,0,0,0,138,19.0,10,0,C,3,21,13100
13190,Rural,Small,West,Zone 6,2,0,3,4922,Company Owned,57,0,0,1,261,26.0,20,0,A+,2,8,28088
13191,Rural,Small,South,Zone 6,2,0,2,5560,Rented,16,0,1,1,119,24.0,18,0,A+,5,2,25089
13192,Rural,Large,South,Zone 5,1,2,3,5307,Rented,37,0,0,1,148,28.0,24,0,A+,4,14,30133
13193,Rural,Small,North,Zone 1,1,1,3,4639,Company Owned,28,0,0,0,112,27.0,14,0,A+,6,21,18065
13194,Rural,Mid,West,Zone 4,6,5,4,5171,Company Owned,30,0,0,1,160,30.0,13,0,C,3,11,16131
13195,Rural,Small,North,Zone 1,7,0,3,5089,Rented,37,0,1,1,203,27.0,37,0,C,4,31,50081
13196,Rural,Large,West,Zone 5,1,0,3,4308,Rented,44,0,0,1,99,26.0,18,0,A,2,14,22105
13197,Rural,Small,North,Zone 6,0,0,2,5316,Rented,28,0,0,0,218,30.0,15,0,A+,4,8,19124
13198,Rural,Mid,West,Zone 4,5,0,4,4381,Company Owned,27,1,0,1,264,33.0,12,0,C,6,11,16091
13199,Rural,Large,North,Zone 5,3,0,2,3956,Rented,37,0,1,1,157,34.0,25,1,A+,5,24,33106
13200,Rural,Large,South,Zone 6,6,0,2,7615,Company Owned,53,1,0,1,270,28.0,0,0,C,0,29,8106
13201,Rural,Mid,North,Zone 2,0,1,3,4862,Rented,39,0,0,0,166,19.0,23,0,B+,4,1,28090
13202,Rural,Large,South,Zone 6,7,0,3,4341,Company Owned,38,1,0,1,155,34.0,28,0,C,5,29,37097
13203,Rural,Small,North,Zone 6,7,0,2,7899,Company Owned,56,0,0,0,64,26.0,16,0,B,5,8,19096
13204,Rural,Large,West,Zone 6,7,3,3,5187,Company Owned,44,0,0,1,222,25.0,4,1,A+,4,6,6147
13205,Rural,Large,South,Zone 6,0,2,3,3934,Rented,70,0,0,0,142,19.0,20,0,A,6,23,25146
13206,Rural,Large,South,Zone 5,5,0,5,4776,Company Owned,69,0,0,1,238,38.0,0,0,C,0,14,6128
13207,Urban,Small,West,Zone 6,5,1,4,3973,Company Owned,37,0,0,1,62,28.0,35,1,A+,5,9,46075
13208,Rural,Large,West,Zone 6,6,1,2,5034,Rented,67,0,0,0,70,23.0,17,1,A+,2,23,22071
13209,Rural,Large,North,Zone 6,2,0,4,4140,Rented,53,0,0,0,171,25.0,11,0,C,2,28,14143
13210,Rural,Large,North,Zone 6,6,0,2,5641,Company Owned,56,0,0,1,236,43.0,21,1,A+,2,28,28089
13211,Rural,Large,West,Zone 6,6,1,2,4721,Rented,51,0,0,0,115,43.0,11,0,B,6,29,14075
13212,Rural,Small,North,Zone 1,1,0,2,4413,Company Owned,32,0,0,1,89,19.0,38,1,B,3,21,50085
13213,Rural,Small,South,Zone 6,4,0,2,6146,Company Owned,68,0,0,1,266,30.0,20,1,A+,2,9,26105
13214,Rural,Mid,South,Zone 2,6,1,4,4439,Rented,57,0,0,1,156,25.0,37,1,A+,4,32,49068
13215,Rural,Small,West,Zone 6,0,3,3,5260,Company Owned,18,0,0,0,171,42.0,25,0,A+,3,15,32151
13216,Rural,Large,West,Zone 6,5,1,3,4128,Company Owned,62,0,0,0,164,22.0,6,0,B+,2,23,7084
13217,Rural,Mid,North,Zone 4,6,3,4,4787,Company Owned,70,0,0,1,181,26.0,15,0,B+,6,26,18091
13218,Rural,Large,North,Zone 6,8,0,3,2728,Company Owned,54,0,0,0,165,21.0,12,0,B,5,23,15083
13219,Urban,Mid,South,Zone 2,1,0,4,5733,Company Owned,41,0,0,1,131,35.0,17,0,A+,6,32,23124
13220,Rural,Mid,North,Zone 4,5,0,2,5360,Rented,47,0,0,0,150,27.0,16,1,B,2,26,20144
13221,Rural,Mid,West,Zone 2,4,0,2,5182,Rented,66,0,0,0,118,36.0,6,0,C,2,1,7077
13222,Rural,Mid,North,Zone 4,5,1,4,5293,Rented,67,0,0,0,182,16.0,8,0,B+,5,26,9080
13223,Rural,Mid,South,Zone 3,6,0,2,5649,Rented,59,0,0,0,222,24.0,4,1,C,2,19,5125
13224,Urban,Mid,South,Zone 4,8,1,2,5468,Company Owned,58,0,0,0,143,19.0,21,1,A+,2,26,28151
13225,Rural,Large,North,Zone 6,0,4,4,5256,Rented,65,0,0,0,197,30.0,16,0,C,6,29,20089
13226,Rural,Small,South,Zone 1,7,2,2,5725,Company Owned,19,0,0,1,130,33.0,4,0,C,2,21,5073
13227,Rural,Mid,North,Zone 4,1,0,2,4367,Rented,16,0,1,1,80,36.0,10,0,B,4,26,12118
13228,Rural,Mid,South,Zone 2,1,1,2,4904,Company Owned,30,0,0,0,57,24.0,23,0,B+,2,32,28087
13229,Rural,Mid,North,Zone 2,2,0,2,6058,Company Owned,47,0,0,1,189,29.0,21,0,B+,4,1,26145
13230,Rural,Mid,North,Zone 4,8,0,3,5982,Company Owned,63,0,0,1,120,30.0,16,0,C,2,26,22104
13231,Rural,Large,West,Zone 5,2,1,4,5645,Rented,48,0,0,0,199,16.0,23,0,B,5,14,27149
13232,Rural,Small,North,Zone 6,6,0,3,6243,Company Owned,39,0,0,0,83,21.0,11,0,C,4,13,14080
13233,Rural,Large,South,Zone 6,7,1,3,5201,Company Owned,36,0,0,1,67,20.0,4,1,A,2,29,5082
13234,Urban,Large,West,Zone 5,8,1,4,4024,Rented,29,0,0,0,130,41.0,22,0,B+,2,10,26069
13235,Rural,Mid,South,Zone 2,0,0,2,4756,Company Owned,28,0,0,0,234,28.0,5,0,B+,1,32,6062
13236,Rural,Large,West,Zone 6,6,0,4,3938,Company Owned,65,0,0,1,194,32.0,6,1,A+,6,6,8134
13237,Rural,Large,North,Zone 6,5,3,3,5639,Company Owned,23,0,0,1,87,42.0,19,0,B,3,28,22113
13238,Rural,Large,West,Zone 6,2,0,4,4966,Company Owned,45,0,0,1,106,27.0,27,0,B+,2,6,31083
13239,Rural,Large,North,Zone 5,4,0,4,4827,Company Owned,38,1,0,0,202,29.0,24,0,C,4,17,30087
13240,Rural,Mid,East,Zone 4,0,1,8,4593,Rented,66,0,0,1,123,41.0,10,0,B,4,26,12064
13241,Rural,Mid,South,Zone 2,6,0,3,6913,Rented,34,0,0,0,170,22.0,33,0,A,4,32,45128
13242,Rural,Small,West,Zone 6,3,0,4,4591,Company Owned,32,0,0,1,62,23.0,23,1,A+,5,15,32120
13243,Rural,Mid,North,Zone 2,0,1,4,4249,Rented,67,0,0,0,155,19.0,0,0,C,0,1,5109
13244,Rural,Large,West,Zone 5,4,0,6,2981,Rented,15,0,0,0,221,32.0,12,0,B,1,14,15091
13245,Rural,Mid,West,Zone 4,8,0,4,5136,Company Owned,33,0,0,1,219,23.0,22,0,C,6,11,28139
13246,Urban,Mid,South,Zone 4,5,0,3,5047,Company Owned,30,0,0,1,244,27.0,20,0,B+,5,26,23060
13247,Rural,Small,North,Zone 6,6,0,3,5063,Rented,25,0,0,0,187,28.0,0,0,C,0,13,8061
13248,Rural,Mid,West,Zone 3,7,2,3,5572,Company Owned,50,0,0,1,92,30.0,27,0,B,6,27,31135
13249,Rural,Large,North,Zone 6,6,0,2,3835,Company Owned,35,0,0,1,139,34.0,24,0,B+,2,29,27139
13250,Rural,Small,North,Zone 6,5,0,4,6094,Company Owned,49,0,0,1,206,27.0,6,0,A,2,9,8111
13251,Rural,Mid,West,Zone 2,0,0,2,4546,Company Owned,59,0,0,1,82,30.0,4,0,C,1,12,5109
13252,Rural,Mid,West,Zone 2,0,0,3,5245,Company Owned,43,0,0,1,173,43.0,12,0,B,3,18,14108
13253,Rural,Small,North,Zone 1,1,2,2,6142,Company Owned,52,0,0,1,122,33.0,27,0,B+,3,30,31064
13254,Rural,Mid,South,Zone 3,1,0,2,3915,Company Owned,22,0,0,0,159,33.0,22,1,A+,2,27,32113
13255,Rural,Mid,East,Zone 4,8,1,5,4521,Rented,18,0,0,0,128,23.0,25,0,B+,4,26,29124
13256,Rural,Mid,South,Zone 3,3,1,2,4825,Rented,21,0,0,1,80,23.0,0,0,C,0,19,8117
13257,Rural,Mid,South,Zone 3,3,0,4,3215,Rented,22,0,0,0,271,20.0,31,1,A+,6,19,42135
13258,Rural,Large,North,Zone 6,0,3,2,5204,Rented,40,0,0,0,114,25.0,4,0,C,2,7,5120
13259,Rural,Large,North,Zone 5,7,0,4,5273,Rented,48,0,0,0,63,25.0,23,0,C,3,17,31124
13260,Urban,Mid,South,Zone 4,4,0,3,5064,Company Owned,68,0,0,0,129,42.0,15,1,B,3,20,17139
13261,Rural,Large,North,Zone 6,3,0,3,4887,Rented,43,0,0,1,66,32.0,10,0,C,5,23,12110
13262,Rural,Large,East,Zone 5,0,0,4,4346,Company Owned,35,0,0,1,233,26.0,10,0,A,4,14,13092
13263,Rural,Mid,South,Zone 4,6,2,3,4780,Company Owned,67,0,0,0,263,23.0,5,1,A+,5,26,7071
13264,Rural,Mid,West,Zone 4,7,2,4,3931,Rented,59,0,0,1,230,28.0,4,1,A,3,11,5094
13265,Rural,Large,North,Zone 6,2,0,3,5836,Company Owned,40,0,0,1,65,36.0,23,0,A,5,28,29108
13266,Rural,Large,West,Zone 5,7,3,4,4734,Rented,49,0,0,0,99,16.0,5,0,B,1,14,5101
13267,Rural,Large,West,Zone 6,5,0,3,4072,Company Owned,18,0,0,0,165,30.0,0,0,C,0,23,6067
13268,Rural,Large,West,Zone 5,7,0,3,5212,Company Owned,51,0,0,1,190,21.0,8,1,C,2,25,11150
13269,Rural,Large,North,Zone 5,3,4,2,5437,Rented,29,0,0,0,203,18.0,6,0,B+,3,24,7139
13270,Rural,Mid,North,Zone 4,1,0,3,6604,Company Owned,54,0,0,1,126,25.0,20,0,A,4,26,25141
13271,Rural,Small,West,Zone 6,5,1,2,5343,Company Owned,64,0,0,0,219,24.0,13,0,B,4,8,16111
13272,Rural,Large,South,Zone 6,1,0,2,4015,Rented,47,0,0,1,247,28.0,6,0,C,3,29,8122
13273,Rural,Mid,North,Zone 3,6,3,4,5470,Rented,52,0,0,0,163,21.0,17,1,A+,2,27,22107
13274,Rural,Mid,North,Zone 3,5,0,3,6041,Company Owned,45,0,0,0,243,30.0,0,0,C,0,27,5098
13275,Rural,Mid,West,Zone 4,7,1,2,4117,Rented,29,0,1,1,95,40.0,11,1,C,3,11,14078
13276,Rural,Large,West,Zone 6,2,3,2,5012,Rented,68,0,0,0,73,23.0,20,1,A,6,6,26084
13277,Rural,Large,North,Zone 6,0,1,2,4825,Company Owned,19,0,0,1,179,35.0,10,0,B,4,29,12134
13278,Rural,Mid,North,Zone 4,8,0,4,3643,Rented,20,0,0,0,58,18.0,0,0,C,0,26,3106
13279,Rural,Mid,East,Zone 4,4,3,4,4623,Rented,26,0,0,1,74,22.0,20,0,C,2,26,25106
13280,Rural,Mid,West,Zone 3,4,0,3,4829,Company Owned,28,0,0,1,246,25.0,26,1,A+,5,19,37141
13281,Rural,Large,North,Zone 6,7,0,2,5997,Rented,44,1,0,1,90,30.0,32,1,A+,5,6,45130
13282,Rural,Large,South,Zone 5,8,0,2,4066,Company Owned,47,0,0,1,99,27.0,15,0,A,3,25,21137
13283,Rural,Mid,South,Zone 3,3,0,2,6192,Company Owned,69,0,0,1,133,30.0,5,1,A+,2,27,7068
13284,Rural,Small,South,Zone 6,8,0,2,4817,Rented,27,0,0,1,261,30.0,24,0,B+,2,2,28096
13285,Rural,Large,West,Zone 6,8,0,3,4220,Company Owned,45,1,0,1,59,28.0,25,1,A,2,6,35095
13286,Rural,Mid,North,Zone 4,8,0,2,6390,Rented,26,0,0,1,108,32.0,4,1,A,3,26,5148
13287,Rural,Large,West,Zone 5,3,1,4,5647,Company Owned,29,0,0,0,202,20.0,25,0,A,4,10,33064
13288,Rural,Large,North,Zone 5,1,1,4,4248,Company Owned,39,0,0,1,58,28.0,21,0,B,3,25,24085
13289,Rural,Mid,West,Zone 4,6,0,1,4872,Rented,17,0,1,1,152,19.0,36,1,B,2,26,47110
13290,Rural,Large,North,Zone 6,4,1,5,4605,Company Owned,67,0,1,1,205,32.0,23,1,B,2,28,27147
